place_name,whether_calculated,is_people,pred_is_people,predicted_name
이마트24금,1,0,0,이마트
이마트24동,1,0,0,이마트
이마트24반,1,0,0,이마트
이마트24범,1,0,0,이마트
이마트24상,1,0,0,이마트
이마트24선,1,0,0,이마트
이마트24안,1,0,0,이마트
이마트24코,1,0,0,이마트
이모~♡,0,1,0,
이모용돈,0,0,0,이모용
이비가짬뽕호,1,0,0,이비가
이삭토스트,1,0,0,이삭토
이삭토스트안양평촌,1,0,0,이삭토
이스포츠아레,1,0,0,이스포
이승빈,0,1,1,이승빈
이승용,0,1,1,이승용
이음ING분 ,1,0,0,
이재룡,0,1,1,이재룡
이지페이,0,0,0,이지페
이지헤어,1,0,0,이지헤
인덕원국밥마,1,0,0,인덕원
인동초,1,0,0,인동초
인터파크_   ,0,0,0,인터파
일등추어탕,1,0,0,
임서연(포 ,0,0,1,임서연
입영여비,0,0,0,
자판기,0,0,0,자판기
장모네순대국,1,0,0,장모네
재정단여비,0,0,0,
재훈토스트,1,0,0,
저스트잇카페,1,0,0,
전원균,0,1,1,전원균
전원주의손큰,1,0,1,전원주
정민준,0,1,1,정민준
정부민원포털,0,0,1,정부민
정수민,0,1,1,정수민
정원칼국수,1,0,0,정원칼
제노,1,0,0,
제닉스PC방,1,0,0,제닉스
제로백pc(zer,1,0,0,제로백
제로백내손동,1,0,0,제로백
제이24스터,1,0,0,
제이티,0,0,0,제이티
제이펄헤어,1,0,0,제이펄
제주고국,1,0,0,제주고
조아아이스크,1,0,0,조아아
조이약국,1,0,0,조이약
조이팝PC과,1,0,0,조이팝
조이팝피씨,1,0,0,조이팝
종로문고,1,0,0,종로문
죠스떡볶이범,1,0,0,
주)뉴코아 ,1,0,0,
주)스타벅 ,1,0,0,
주소담푸드,1,0,1,주소담
주식,0,0,0,
주식매도분,0,0,0,주식매
주식환불,0,0,0,주식환
주식회사JBSD,0,0,0,주식회
주식회사아성,0,0,0,주식회
주식회사안양,0,0,0,주식회
주식회사엠앤,0,0,0,주식회
주식회사오즈,0,0,0,주식회
주식회사유피,0,0,0,주식회
주원진의할매,1,1,1,주원진
주택청약,0,0,0,주택청
중독,1,0,0,
중독춘천닭갈,1,0,0,
중식비,0,0,0,
중앙공원매점,1,0,0,
중앙마트,1,0,0,
중화원,1,0,0,
즉석감고을김,1,0,0,
즐pc방,1,0,0,
지방택시_   ,1,0,0,지방택
지에스(GS)25,1,0,0,지에스
지에스(GS)25평촌목,1,0,0,지에스
지에스25(GS2,1,0,0,지에스
지에스25S4  ,1,0,0,지에스
지에스25갈,1,0,0,지에스
지에스25광,1,0,0,지에스
지에스25논,1,0,0,지에스
지에스25뉴,1,0,0,지에스
지에스25뉴호계융창,1,0,0,지에스
지에스25범,1,0,0,지에스
지에스25부,1,0,0,지에스
지에스25안,1,0,0,지에스
지에스25양,1,0,0,지에스
지에스25을,1,0,0,지에스
지에스25의,1,0,0,지에스
지에스25제,1,0,0,지에스
지에스25평,1,0,0,지에스
지에스25평촌두산점,1,0,0,지에스
지에스25평촌보영점,1,0,0,지에스
지에스25평촌신동아,1,0,0,지에스
지에스25한,1,0,0,지에스
지에스25호,1,0,0,지에스
지에스25호계체육관,1,0,0,지에스
지에스25호계현대점,1,0,0,지에스
지지고,1,0,0,지지고
천지유황탕,1,0,1,천지유
철구PC군포,1,0,0,
청산,1,0,0,
체크취소,0,0,0,
초심스터디카,1,0,0,초심스
초월스터디카,1,0,0,초월스
촌놈집삼덕공,1,0,0,
최네집,1,0,0,최네집
최네집부대찌,1,0,0,최네집
최네집부대찌개,1,0,0,최네집
충남사(자 ,1,0,0,
충무김밥,1,0,0,
충무로점컴포,1,0,0,
치어스호계2 ,1,0,0,
카쯔야범계점,1,0,0,
카카오_카 ,0,0,0,
카카오_카카오페이,0,0,0,
카카오_택 ,0,0,0,
카카오(기 ,0,0,0,
카카오MY구,0,0,0,
카카오T_바,0,0,0,
카카오T일 ,0,0,0,
카카오T택 ,0,0,0,
카카오개인택,0,0,0,
카카오법인택,0,0,0,
카카오선물하,0,0,0,
카카오택시선,0,0,0,
카카오페이,0,0,0,
카카오페이_N,0,0,0,
카카오페이_NICE,0,0,0,
카카오페이( ,0,0,0,
카페게이트평,1,0,0,
카페게이트평촌학원,1,0,0,
카페봄봄안양,1,0,0,
카페비스포크,1,0,0,
카페비스포크(CAFEB,1,0,0,
카페지니호계,1,0,0,
카페지니호계점,1,0,0,
카페초이스,1,0,0,
카페하루,1,0,0,
캔버스태암주,0,0,0,
캠퍼스라운지,1,0,0,
커틸다헤어살,1,0,0,
커피마르소,1,0,0,
커피베이안양,1,0,0,
커피온팔공티,1,0,0,
컴포즈커피동,1,0,0,
컴포즈커피평,1,0,0,
컴포즈커피평촌트리,1,0,0,
케이투(K2)  ,0,0,0,
코레일유통( ,0,0,0,
코레일유통주,0,0,0,
코밴_키오 ,1,0,0,
코밴_키오스크_1,1,0,0,
코밴(오프라인)_1,1,0,0,
쿠팡(와우 ,0,0,0,
쿠팡(쿠페 ,0,0,0,
퀸즈블랙건대,1,0,0,
크라우드PC  ,1,0,0,
크리드PC호,1,0,0,
크린토피아안,1,0,0,
큰삼촌용돈,0,0,0,
클로봇,0,0,0,
키오스크_KIC,0,0,0,
키움이건민,0,1,0,
키움해외이벤,0,0,0,
타임유스터디,1,0,0,
태기산더덕순,1,0,0,태기산
토니치킨,1,0,0,
토스_신재 ,0,0,0,
토스_이건 ,0,0,0,
토스_이승 ,0,0,0,
토스_이지 ,0,0,0,
토스_정민 ,0,0,0,
토스_조영 ,0,0,0,
토스_한건 ,0,0,0,
토스PG한국,0,0,0,
토스강영구,0,1,0,토스강영구
토스강원석,0,1,1,토스강원석
토스공태현,0,1,1,토스공태현
토스권기완,0,1,1,토스권기완
토스김경민,0,1,1,토스김경민
토스김미옥,0,1,1,토스김미옥
토스김어람,0,1,1,토스김어람
토스김영미,0,1,1,토스김영미
토스김원재,0,1,1,토스김원재
토스김종인,0,1,1,토스김종인
토스김하연,0,1,1,토스김하연
토스노동혁,0,1,1,토스노동혁
토스동국대,0,1,0,토스동국대
토스박민성,0,1,1,토스박민성
토스배현민,0,1,1,토스배현민
토스서울세,0,1,0,토스서울세
토스송복현,0,1,0,토스송복현
토스신순옥,0,1,1,토스신순옥
토스신재원,0,1,1,토스신재원
토스오상현,0,1,1,토스오상현
토스유정식,0,1,1,토스유정식
토스윤금한,0,1,0,토스윤금한
토스이건민,0,1,1,토스이건민
토스이승빈,0,1,1,토스이승빈
토스이승용,0,1,1,토스이승용
토스장승헌,0,1,1,토스장승헌
토스정민준,0,1,1,토스정민준
토스조효준,0,1,1,토스조효준
토스최소이,0,1,1,토스최소이
토스최영범,0,1,1,토스최영범
토스트&커 ,1,0,0,
토스페이,0,0,0,
토스페이충,0,0,0,
토스페이충전,0,0,0,
토스홍지수,0,1,1,토스홍지수
통닭원5900( ,1,0,0,
통인커뮤니티,1,0,0,
통통뼈감자탕,1,0,0,
투썸플레이스,1,0,0,
틈새라면평촌,1,0,0,
티머니개인택,0,0,0,
티머니법인택,0,0,0,
파두매도,0,0,0,
파두매도금액,0,0,0,
파란제노PC,1,0,0,
파리바게뜨논,1,0,0,
파리바게뜨범,1,0,0,
파리바게뜨안,1,0,0,
파리바게뜨평,1,0,0,
파리바게뜨한,1,0,0,
팔공티,1,0,0,
페이펄문구센,1,0,0,
펜트리문구센,1,0,0,
펜트리문구평,1,0,0,
펜트리문구평촌점,1,0,0,
펠리치따평촌,1,0,0,
평촌범계문고,1,0,0,평촌범
평촌범계약국,1,0,0,평촌범
평촌종로약국,1,0,0,평촌종
포메인,0,0,0,포메인
포차끝판왕홍,1,0,0,포차끝
포텐스터디카,1,0,0,포텐스
포트캔커피충,1,0,0,포트캔
푸드하우스,1,0,0,
풀PC방,1,0,0,
프랭크버거범,1,0,0,
프랭크버거의,1,0,0,
프레시홈마트,1,0,0,
프린트데이24,1,0,0,
플래시커피신,1,0,0,
플레이존,1,0,0,
피씨지엥,1,0,0,피씨지
피씨토랑안양,1,0,0,피씨토
피오디디,1,0,0,피오디
피자2001,1,0,0,
피자먹다범계,1,0,0,피자먹
피자스쿨안양,1,0,0,피자스
피자스쿨평촌,1,0,0,피자스
피자스쿨호계,1,0,0,피자스
필동반점,1,0,0,필동반
필동커피(Pil,1,0,0,필동커
필에너지,0,0,0,필에너
하나름마트,1,0,0,하나름
하나약국,1,0,0,하나약
하이킥피씨(P,1,0,0,하이킥
학원문고,1,0,0,학원문
학원비결제( ,0,0,0,학원비
한국맥도날드,1,0,0,한국맥
한국철도공사,1,0,0,한국철
한독약국,1,0,0,한독약
한마음슈퍼,1,0,1,한마음
한솥도시락안,1,0,0,한솥도
한신포차인계,1,0,0,한신포
한촌설렁탕,1,0,0,한촌설
할매김밥,1,0,0,
할머니용돈,1,0,0,
함형석이비인,1,0,1,함형석
해늘,1,0,0,
해외이건민,0,1,0,해외이
해피로pc방,1,0,0,해피로
해피피씨토랑,1,0,0,해피피
핵밥(범계 ,1,0,0,
행컵평촌학원,1,0,0,
헌터PC의왕,1,0,0,
헤어디자이너,1,0,0,
헤어라푼젤,1,0,0,
헥토_대표(,0,0,0,
현대마린환불,0,0,0,현대마
현대홈마트,1,0,0,현대홈
형제전통돼지,1,0,0,형제전
혜성내과의원,1,0,0,
호식이두마리,1,0,0,호식이
홍당무파스타,1,0,0,홍당무
