place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
이네이처PC  ,9,1,0,0,0
이니시스(   ,9,1,0,0,0
이닉스매도,9,0,0,1,0
이닉스환불,9,0,0,1,0
이디야에소프,9,1,0,0,0
이디야커피논,9,1,0,0,0
이디야커피안,9,1,0,0,0
이름없는과일,9,1,0,0,0
이리로,9,1,0,0,0
이마트24R   ,9,1,0,0,0
이마트24R안양호계,9,1,0,0,0
이마트24금,9,1,0,0,0
이마트24동,9,1,0,0,0
이마트24반,9,1,0,0,0
이마트24범,9,1,0,0,0
이마트24상,9,1,0,0,0
이마트24선,9,1,0,0,0
이마트24안,9,1,0,0,0
이마트24코,9,1,0,0,0
이모~♡,9,0,1,0,0
이모용돈,9,0,0,0,0
이비가짬뽕호,9,1,0,0,0
이삭토스트,9,1,0,0,0
이삭토스트안양평촌,9,1,0,0,0
이스포츠아레,9,1,0,0,0
이승빈,9,0,1,0,0
이승용,9,0,1,0,0
이음ING분 ,9,1,0,0,0
이재룡,9,0,1,0,0
이지페이,9,0,0,0,0
이지헤어,9,1,0,0,0
인덕원국밥마,9,1,0,0,0
인동초,9,1,0,0,0
인터파크_   ,9,0,0,0,0
일등추어탕,9,1,0,0,0
임서연(포 ,9,0,0,0,0
입영여비,9,0,0,0,0
자판기,9,0,0,0,0
장모네순대국,9,1,0,0,0
재정단여비,9,0,0,0,0
재훈토스트,9,1,0,0,0
저스트잇카페,9,1,0,0,0
전원균,9,0,1,0,0
전원주의손큰,9,1,0,0,0
정민준,9,0,1,0,0
정부민원포털,9,0,0,0,0
정수민,9,0,1,0,0
정원칼국수,9,1,0,0,0
제노,9,1,0,0,0
제닉스PC방,9,1,0,0,0
제로백pc(zer,9,1,0,0,0
제로백내손동,9,1,0,0,0
제이24스터,9,1,0,0,0
제이티,9,0,0,1,0
제이펄헤어,9,1,0,0,0
제주고국,9,1,0,0,0
조아아이스크,9,1,0,0,0
조이약국,9,1,0,0,0
조이팝PC과,9,1,0,0,0
조이팝피씨,9,1,0,0,0
종로문고,9,1,0,0,0
죠스떡볶이범,9,1,0,0,0
주)뉴코아 ,9,1,0,0,0
주)스타벅 ,9,1,0,0,0
주소담푸드,9,1,0,0,0
주식,9,0,0,1,0
주식매도분,9,0,0,1,0
주식환불,9,0,0,1,0
주식회사JBSD,9,0,0,1,0
주식회사아성,9,0,0,1,0
주식회사안양,9,0,0,1,0
주식회사엠앤,9,0,0,1,0
주식회사오즈,9,0,0,1,0
주식회사유피,9,0,0,1,0
주원진의할매,9,1,1,0,0
주택청약,9,0,0,1,0
중독,9,1,0,0,0
중독춘천닭갈,9,1,0,0,0
중식비,9,0,0,0,0
중앙공원매점,9,1,0,0,0
중앙마트,9,1,0,0,0
중화원,9,1,0,0,0
즉석감고을김,9,1,0,0,0
즐pc방,9,1,0,0,0
지방택시_   ,9,1,0,0,0
지에스(GS)25,9,1,0,0,0
지에스(GS)25평촌목,9,1,0,0,0
지에스25(GS2,9,1,0,0,0
