name,weight,percentage
구인,1,3.95652E-07
구자,2,7.91303E-07
구주,2,7.91303E-07
구찌사랑,1,3.95652E-07
구하,2,7.91303E-07
구혜,2,7.91303E-07
구화,1,3.95652E-07
구회,1,3.95652E-07
구효,1,3.95652E-07
구희,4,1.58261E-06
국강,2,7.91303E-07
국담,1,3.95652E-07
국리,1,3.95652E-07
국림,1,3.95652E-07
국별,1,3.95652E-07
국빈,4,1.58261E-06
국선,3,1.18695E-06
국연,4,1.58261E-06
국영,1,3.95652E-07
국자,3,1.18695E-06
국평화,1,3.95652E-07
국하,1,3.95652E-07
국향,1,3.95652E-07
국현,2,7.91303E-07
국화,22,8.70434E-06
국효,1,3.95652E-07
국휘,1,3.95652E-07
국희,31,1.22652E-05
군렬,1,3.95652E-07
군림,1,3.95652E-07
군빈,1,3.95652E-07
군여,1,3.95652E-07
군연,1,3.95652E-07
군옥,1,3.95652E-07
군자,3,1.18695E-06
군제,1,3.95652E-07
군지,1,3.95652E-07
굳세라,1,3.95652E-07
굴,1,3.95652E-07
궁린,2,7.91303E-07
궁윤,1,3.95652E-07
궁윤슬,1,3.95652E-07
궁자,1,3.95652E-07
궁혜,1,3.95652E-07
권,2,7.91303E-07
권결,1,3.95652E-07
권경,2,7.91303E-07
권나윤,1,3.95652E-07
권능,2,7.91303E-07
권다인,1,3.95652E-07
권령,1,3.95652E-07
권률,2,7.91303E-07
권미,2,7.91303E-07
권민,4,1.58261E-06
권보경,1,3.95652E-07
권봄,1,3.95652E-07
권비,6,2.37391E-06
권빛나,1,3.95652E-07
권산,1,3.95652E-07
권서,6,2.37391E-06
권서은,1,3.95652E-07
권설,1,3.95652E-07
권세,1,3.95652E-07
권솔,1,3.95652E-07
권승,1,3.95652E-07
권시은,1,3.95652E-07
권아,11,4.35217E-06
권아리,1,3.95652E-07
권안젤리나,1,3.95652E-07
권에미리수아,1,3.95652E-07
권엘사,1,3.95652E-07
권여름,1,3.95652E-07
권영,12,4.74782E-06
권예,1,3.95652E-07
권옥,1,3.95652E-07
권울림,1,3.95652E-07
권유,1,3.95652E-07
권유이,1,3.95652E-07
권윤,1,3.95652E-07
권율,2,7.91303E-07
권은,3,1.18695E-06
권은솔,1,3.95652E-07
권이,1,3.95652E-07
권재,1,3.95652E-07
권전,1,3.95652E-07
권정,5,1.97826E-06
권주,3,1.18695E-06
권지,3,1.18695E-06
권진,6,2.37391E-06
권하,7,2.76956E-06
권하라,1,3.95652E-07
권한나,1,3.95652E-07
권해,1,3.95652E-07
권해안,1,3.95652E-07
권혜,2,7.91303E-07
권희,15,5.93477E-06
귀나,4,1.58261E-06
귀남,1,3.95652E-07
귀녀,1,3.95652E-07
귀니,1,3.95652E-07
